id;val
boss_daily_name_01;Jadeplume Terrorshroom
boss_daily_name_02;Anemo Hypostasis
boss_daily_name_03;Cryo Hypostasis
boss_daily_name_04;Electro Hypostasis
boss_daily_name_05;Geo Hypostasis
boss_daily_name_06;Hydro Hypostasis
boss_daily_name_07;Pyro Hypostasis
boss_daily_name_08;Coral Defenders
boss_daily_name_09;Thunder Manifestation
boss_daily_name_10;Perpetual Mechanical Array
boss_daily_name_11;Maguu Kenki
boss_daily_name_12;Primo Geovishap
boss_daily_name_13;Cryo Regisvine
boss_daily_name_14;Pyro Regisvine
boss_daily_name_15;Electro Regisvine
boss_daily_name_16;Golden Wolflord
boss_daily_name_17;Rhodeia of Loch
boss_daily_name_18;Ruin Serpent
boss_weekly_name_01;Azhdaha
boss_weekly_name_02;Magatsu Mitake Narukami no Mikoto
boss_weekly_name_03;Wolf of the North Challenge
boss_weekly_name_04;Childe
boss_weekly_name_05;La Signora
boss_weekly_name_06;Dvalin
button_1_part1;Cancel
button_1_part2;Changes
button_10_part1;Item Boss
button_10_part2;Normal
button_10_part3;
button_11_part1;Item Boss
button_11_part2;Weekly
button_11_part3;
button_2_part1;Save
button_2_part2;Changes
button_3;Page 
button_3a;Previous Page
button_3b;Next Page
button_4_part1;Elemental
button_4_part2;Crystal
button_4_part3;
button_5_part1;Talent's
button_5_part2;Books
button_5_part3;
button_6_part1;Weapon Asc
button_6_part2;Material
button_6_part3;
button_7_part1;Mat. Com. 1
button_7_part2;(T2-T4)
button_7_part3;
button_8_part1;Mat. Com. 2
button_8_part2;(T1-T3)
button_8_part3;
button_9_part1;Local
button_9_part2;Material
button_9_part3;
ch_01;Albedo
ch_02;Aloy
ch_03;Amber
ch_04;Arataki Itto
ch_05;Barbara
ch_06;Beidou
ch_07;Bennett
ch_08;Chongyun
ch_09;Collei
ch_10;Diluc
ch_11;Diona
ch_12;Dori
ch_13;Eula
ch_14;Fischl
ch_15;Ganyu
ch_16;Gorou
ch_17;Hu Tao
ch_18;Jean
ch_19;Kaeya
ch_20;Kaedehara Kazuha
ch_21;Kamisato Ayaka
ch_22;Kamisato Ayato
ch_23;Keqing
ch_24;Klee
ch_25;Kujou Sara
ch_26;Kuki Shinobu
ch_27;Lisa
ch_28;Mona
ch_29;Ningguang
ch_30;Noelle
ch_31;Qiqi
ch_32;Razor
ch_33;Rosaria
ch_34;Sucrose
ch_35;Sangonomiya Kokomi
ch_36;Sayu
ch_37;Shenhe
ch_38;Shikanoin Heizou
ch_39;Raiden Shogun
ch_40;Tartaglia
ch_41;Thoma
ch_42;Traveler Anemo
ch_43;Traveler Electro
ch_44;Traveler Geo
ch_45;Venti
ch_46;Xiangling
ch_47;Xiao
ch_48;Xingqiu
ch_49;Xinyan
ch_50;Yae Miko
ch_51;Yanfei
ch_52;Yelan
ch_53;Yoimiya
ch_54;Yun Jin
ch_55;Zhongli
ch_56;Tignari
ch_57;Traveler Dendro
ch_58;Cyno
ch_59;Candace
ch_60;Nilou
ch_61;Nahida
ch_62;Layla
ch_63;Wanderer
ch_64;Faruzan
ch_65;Alhaitham
ch_66;Yaoyao
ch_67;Dehya
