id;val
boss_daily_name_01;Espantohongo Plumaverde
boss_daily_name_02;Hipostasis Anemo
boss_daily_name_03;Hipostasis Cryo
boss_daily_name_04;Hipostasis Electro
boss_daily_name_05;Hipostasis Geo
boss_daily_name_06;Hipostasis Hydro
boss_daily_name_07;Hipostasis Pyro
boss_daily_name_08;Manada de Dragartos de las Profundidades
boss_daily_name_09;Manifestacion del Trueno
boss_daily_name_10;Maquinaria Eterna
boss_daily_name_11;Oni Espadachin
boss_daily_name_12;Protodagarto Geo
boss_daily_name_13;Regisvid Cryo
boss_daily_name_14;Regisvid Electro
boss_daily_name_15;Regisvid Pyro
boss_daily_name_16;Rey Acechador Dorado
boss_daily_name_17;Rhodeia
boss_daily_name_18;Serpiente de las Ruinas
boss_weekly_name_01;Azhdaha
boss_weekly_name_02;Guardiana de la Eternidad
boss_weekly_name_03;Lobo del Norte
boss_weekly_name_04;Nobile
boss_weekly_name_05;Signora
boss_weekly_name_06;Stormterror
button_1_part1;Cancelar
button_1_part2;Cambios
button_10_part1;Item Boss
button_10_part2;Normal
button_10_part3;
button_11_part1;Item Boss
button_11_part2;Semanal
button_11_part3;
button_2_part1;Guardar
button_2_part2;Cambios
button_3;Página 
button_3a;Página Anterior
button_3b;Página Siguiente
button_4_part1;Cristal de
button_4_part2;Elementos
button_4_part3;
button_5_part1;Libro de
button_5_part2;Talentos
button_5_part3;
button_6_part1;Mat. de
button_6_part2;Asc. Arma
button_6_part3;
button_7_part1;Mat. Común 1
button_7_part2;(T2-T4)
button_7_part3;
button_8_part1;Mat. Común 2
button_8_part2;(T1-T3)
button_8_part3;
button_9_part1;Material
button_9_part2;Local
button_9_part3;
ch_01;Albedo
ch_02;Aloy
ch_03;Amber
ch_04;Arataki Itto
ch_05;Barbara
ch_06;Beidou
ch_07;Bennett
ch_08;Chongyun
ch_09;Collei
ch_10;Diluc
ch_11;Diona
ch_12;Dori
ch_13;Eula
ch_14;Fischl
ch_15;Ganyu
ch_16;Gorou
ch_17;Hu Tao
ch_18;Jean
ch_19;Kaeya
ch_20;Kaedehara Kazuha
ch_21;Kamisato Ayaka
ch_22;Kamisato Ayato
ch_23;Keching
ch_24;Klee
ch_25;Kujou Sara
ch_26;Kuki Shinobu
ch_27;Lisa
ch_28;Mona
ch_29;Ningguang
ch_30;Noelle
ch_31;Qiqi
ch_32;Razor
ch_33;Rosaria
ch_34;Sacarosa
ch_35;Sangonomiya Kokomi
ch_36;Sayu
ch_37;Shenhe
ch_38;Shikanoin Heizou
