id;val
ch_01;Albedo
ch_02;Aloy
ch_03;Amber
ch_04;Arataki Itto
ch_05;Barbara
ch_06;Beidou
ch_07;Bennett
ch_08;Chongyun
ch_09;Collei
ch_10;Diluc
ch_11;Diona
ch_12;Dori
ch_13;Eula
ch_14;Fischl
ch_15;Ganyu
ch_16;Gorou
ch_17;Hu Tao
ch_18;Jean
ch_19;Kaeya
ch_20;Kaedehara Kazuha
ch_21;Kamisato Ayaka
ch_22;Kamisato Ayato
ch_23;Keqing
ch_24;Klee
ch_25;Kujou Sara
ch_26;Kuki Shinobu
ch_27;Lisa
ch_28;Mona
ch_29;Ningguang
ch_30;Noelle
ch_31;Qiqi
ch_32;Razor
ch_33;Rosaria
ch_34;Sucrose
ch_35;Sangonomiya Kokomi
ch_36;Sayu
ch_37;Shenhe
ch_38;Shikanoin Heizou
ch_39;Raiden Shogun
ch_40;Tartaglia
ch_41;Thoma
ch_42;Traveler Anemo
ch_43;Traveler Electro
ch_44;Traveler Geo
ch_45;Venti
ch_46;Xiangling
ch_47;Xiao
ch_48;Xingqiu
ch_49;Xinyan
ch_50;Yae Miko
ch_51;Yanfei
ch_52;Yelan
ch_53;Yoimiya
ch_54;Yun Jin
ch_55;Zhongli
ch_56;Tignari
ch_57;Traveler Dendro
status_1;No Build
status_2;Build
type_domain_1;Talent
type_domain_2;Weapon
weapon_name_01;Blackcliff Agate
weapon_name_02;Thundering Pulse
weapon_name_03;Halberd
weapon_name_04;Skyward Harp
weapon_name_05;Wavebreaker's Fin
weapon_name_06;Hakushin Ring
weapon_name_07;Apprentice's Notes
weapon_name_08;Aqua Simulacra
weapon_name_09;Aquila Favonia
weapon_name_10;Compound Bow
weapon_name_100;Mouun's Moon
weapon_name_101;Everlasting Moonglow
weapon_name_102;Haran Geppaku Futsu
weapon_name_103;Engulfing Lightning
weapon_name_104;Hamayumi
weapon_name_105;Serpent Spine
weapon_name_106;Sacrificial Fragments
weapon_name_107;Messenger
weapon_name_108;Twin Nephrite
weapon_name_109;Windblume Ode
weapon_name_11;Amos' Bow
weapon_name_110;Song of Broken Pines
weapon_name_111;Eye of Perception
weapon_name_112;Oathsworn Eye
weapon_name_113;Lost Prayer to the Sacred Winds
weapon_name_114;Emerald Orb
weapon_name_115;Skyward Pride
weapon_name_116;Calamity Queller
weapon_name_117;Dragon's Bane
weapon_name_118;Moonpiercer
weapon_name_119;Skyward Atlas
weapon_name_12;Raven Bow
weapon_name_120;Solar Pearl
weapon_name_121;Crescent Pike
weapon_name_122;Prototype Amber
weapon_name_123;Prototype Archaic
weapon_name_124;Prototype Starglitter
weapon_name_125;Prototype Crescent
weapon_name_126;Prototype Rancour
weapon_name_127;Skyward Spine
